X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
223.0,223.0,train,0.0026609632078978583,36.32731768549146,0.6430594057450902
224.0,224.0,train,0.0028093161055042686,42.587411820837076,0.6629824941807289
225.0,225.0,train,0.00341043948127881,72.8400875550574,0.732956567476837
226.0,226.0,train,0.003351427411901284,67.43032254601678,0.726785362680104
227.0,227.0,train,0.002429517538165646,26.518112722451114,0.6095995390975245
228.0,228.0,train,0.0035280917767861737,86.40550352146958,0.7448472226711178
229.0,229.0,train,0.003480869085815349,79.73782386672896,0.7401395773250952
230.0,230.0,train,0.003824562323123046,98.3502563827531,0.7725149349411045
231.0,231.0,train,0.003480869085815349,79.73782386672896,0.7401395773250952
232.0,232.0,train,0.00314237932813928,52.14297372452039,0.7037539975736853
233.0,233.0,train,0.002006488005400009,15.507180734591437,0.5401281029083709
234.0,234.0,train,0.003222318285242151,57.24717265785818,0.712781855843366
235.0,235.0,train,0.001924009601044789,13.33840535381,0.5252068219283763
236.0,236.0,train,0.0024483869668572036,28.956862542081463,0.6124411228426101
237.0,237.0,train,0.0037409477625065897,97.20364346937718,0.7650304862527004
238.0,238.0,train,0.0023117916288174904,21.321358469394944,0.5913944129936358
239.0,239.0,train,0.0031361991758724534,51.82874048992246,0.7030443412639769
240.0,240.0,train,0.003388337660129533,70.80070270801815,0.7306617609224577
241.0,241.0,train,0.002494815815230432,30.939144819645982,0.619345189902486
242.0,242.0,train,0.0032755597826590824,60.81122390750295,0.7186414919874632
243.0,243.0,train,0.003151808692657726,52.772943201836696,0.704833488991016
244.0,244.0,train,0.003460173433996406,76.96269007044532,0.7380491407647112
245.0,245.0,train,0.0028934328395286714,44.30414435943151,0.6737808904116807
246.0,246.0,train,0.003820854277299935,97.96822066800976,0.7721881316023156
247.0,247.0,train,0.0030141344276525873,48.742648766607644,0.6886742091527629
248.0,248.0,train,0.003677965298186187,95.3459677898774,0.7592306801095164
249.0,249.0,train,0.0025604801684874345,34.231499986774494,0.6289001559923659
250.0,250.0,train,0.003481366105949093,80.43146489462818,0.740189574915806
251.0,251.0,train,0.0027175940621740552,39.558066511675186,0.6507999882617097
252.0,252.0,train,0.0032301399335125107,58.537481740797475,0.7136502752230846
253.0,253.0,train,0.003396239159107235,72.15774410273428,0.7314844204801305
254.0,254.0,train,0.003110028893863056,50.89308514944583,0.7000203628401862
255.0,255.0,train,0.0020778774407437355,16.949320792546462,0.5526641266465657
256.0,256.0,train,0.0020778774407437355,16.949320792546462,0.5526641266465657
257.0,257.0,train,0.0034393833569918196,74.89483192383399,0.735932234556477
258.0,258.0,train,0.003550568474644274,91.36636203267743,0.7470578795643856
259.0,259.0,train,0.003215881450589365,55.960882959938345,0.7120652139260107
260.0,260.0,train,0.003546566593980003,88.88216145763379,0.7466656877725468
261.0,261.0,train,0.003557580237399737,91.72228111550834,0.7477435821288139
262.0,262.0,train,0.0033615169266351867,69.07559252093148,0.7278504937400005
263.0,263.0,train,0.003222318285242151,57.24717265785818,0.712781855843366
264.0,264.0,train,0.002229732443557359,19.721180748649196,0.5782050124034843
265.0,265.0,train,0.0016305962610898292,8.350909217969926,0.46809036895700384
266.0,266.0,train,0.003104214030250166,50.58235673316582,0.6993442845632648
267.0,267.0,train,0.0029071777731306645,45.17536001087029,0.6755121962122916
268.0,268.0,train,0.002706080742957451,38.47349340879121,0.6492400055150405
269.0,269.0,train,0.0027062547706793658,39.013675965776955,0.6492636369773823
270.0,270.0,train,0.001145829862601242,5.4920923025424635,0.35828143970018456
271.0,271.0,train,0.0030573728476341886,49.96220182793525,0.6938423192076804
272.0,272.0,train,0.0020778774407437355,16.949320792546462,0.5526641266465657
273.0,273.0,train,0.0023540883057289073,24.128289737839133,0.5980308708114908
274.0,274.0,train,0.0025935385063173048,34.49084079814279,0.63361939894897
275.0,275.0,train,0.0017311076381732288,10.378592495977399,0.48839090088188886
276.0,276.0,train,0.0027175940621740552,39.558066511675186,0.6507999882617097
277.0,277.0,train,0.0030018938417584844,48.44125663938301,0.687195361310637
278.0,278.0,train,0.0030018938417584844,48.44125663938301,0.687195361310637
279.0,279.0,train,0.0023106642339121744,21.090982988851945,0.5912160306410345
280.0,280.0,train,0.0020778774407437355,16.949320792546462,0.5526641266465657
281.0,281.0,train,8.980371084989802E-4,4.023667362882895,0.29367022295950573
282.0,282.0,train,0.0018017345312658273,10.914391256629777,0.5021903313320961
283.0,283.0,train,0.0011660492149523295,5.70005302624675,0.36328512382439504
284.0,284.0,train,0.0032341064038152916,58.86060680371241,0.7140896592893711
285.0,285.0,train,0.0029904134280257398,47.84087290510585,0.6858019704573131
286.0,286.0,train,0.0038201697204530735,97.58569295396073,0.7721277478422788
287.0,287.0,train,0.0034783984722240023,79.38966218027997,0.7398909038746158
288.0,288.0,train,0.0033540403202306506,67.76620486502257,0.7270616018306512
289.0,289.0,train,0.003522628222730292,83.93775765074754,0.7443069516506182
290.0,290.0,train,0.002371223593072104,25.3134226604294,0.6006886634605758
